,0
alcohol,0.2051223922340866
sulphates,0.14439588788567845
acidity_ratio,0.08823440160887674
volatile acidity,0.08272892796083803
citric acid,0.0684715830173335
total sulfur dioxide,0.06552911112679688
fixed acidity,0.06386472957868897
density,0.06090509873699827
free sulfur dioxide,0.048235676921286344
free_total_so2_ratio,0.04697137590315159
pH,0.04462744203804027
chlorides,0.0429574603687849
residual sugar,0.03795591261943946
