modelo,accuracy,precision,recall,f1,roc_auc,f1_cv_mean,f1_cv_std
Gradient Boosting,0.8492647058823529,0.46551724137931033,0.7297297297297297,0.5684210526315789,0.8854514088556642,0.8975703335008942,0.008790482409652987
Random Forest,0.8602941176470589,0.4878048780487805,0.5405405405405406,0.5128205128205128,0.8787234042553191,0.9333995099258644,0.011180381790770928
Regressão Logística,0.7683823529411765,0.3522727272727273,0.8378378378378378,0.496,0.8925819436457734,0.8237333254001381,0.025072907975070866
